DRC|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|+27 (0) 12 654 7957|+27 (0) 86 628 9800|+27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Deutschland|Europa|Schröter Technologie GmbH & Co. KG|Bahnhofstrasse 86|D-33829 Borgholzhausen|Deutschland||+49 (0) 54 25.95 00|+49 (0) 54 25.18 28||info@schroeter-technologie.de|
Dominikanische Republik|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|+506 2293 0946|+506 2239 9982||franz.langre@cr.multivac.com|
Dänemark|Europa|BM Food Tech ApS|Baldersbuen 29 D|2640 Hedehusene|Dänemark||+45 (0) 46 59 50 20|+45 (0) 46 59 50 21||johnj@bmfoodtech.dk|
El Salvador|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel +506 2293 0946|+506 2239 9982||franz.langre@cr.multivac.com|
Estland|Europa|Basko Food Technologies|Plienciema iela 16, Mãrupe|Mãrupes pag., Rigas raj., LV-2167|Litauen||+371 67 33 33 29|+371 67 82 02 28||basko@basko.tv|www.basko.lv
Finnland|Europa|JTJ-Sales Oy|P.O. Box 234|Linnanrakentajantie 6-8 C|00881 Helsinki|Finnland|+358 (0) 2 07.78 05 10|+358 (0) 2 07.78 05 19||jtj@jtj-sales.fi|
Frankreich|Europa|Jv La Francaise International|Les Cerisiers|61700 Champsecret|Frankreich||+33 (0) 2 33 30.41 44|+33 (0) 2 33 38.13 54||jv.lafrancaiseint@wanadoo.fr|
Griechenland|Europa|Peami Ltd.|Food Processing Equipment|71 Monomatioustr|136 77 Athens Acharnes|Greece|+30 21 02 13 56 90|+30 21 02 92 01 09||nmanolas@peami.gr|
Grossbritannien|Europa|Multivac UK Limited|Multivac House, Rivermead Drive|Rivermead, Swindon|Wiltshire, SN5 7UY|United Kingdom|+44 1793 425 810|+44(0)1793 616219||sales@multivac.co.uk|www.multivac.co.uk
Guatemala|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|+506 2293 0946|+506 2239 9982||franz.langre@cr.multivac.com|
Haiti|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|+506 2293 0946|+506 2239 9982||franz.langre@cr.multivac.com|
Honduras|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|+506 2293 0946|+506 2239 9982||franz.langre@cr.multivac.com|
Indien|Asien|Multivac Laraon India Private Limited|137, Sector 5 IMT Manesar|122050|Gurgaon NCR|India|+91-124 4610000|||info@multivac.co.in|
Iran|Asien|Fanavaran Pishro Sepand Co. Food Processing Solutions (FPS.Co.)|Apt.8, No.32|Kamran Kabiri Ave|West Hemmat Exp'way|Teheran-Iran|+98 (0) 21.44 47 80 03|+98 (0) 21.44 47 26 20||office@fps.co.ir|www.fps.co.ir
Israel|Asien|A.TomLon Ltd|Faran street 2|Yavne|81225 Israel||+972 73 7374433|+972 8 9331414||arie@atomlon.com|tomer@atomlon.com
Italien|Europa|Multivac Italia S.r.l. a socio unico|Via Leonardo Da vinci, 27|20094 Corsico (MI)|Italien||+39 02 4503208 (r.a.)|   +39 02 45863819|+39 338 8724468|stefano.galvagnini@it.multivac.com|
Jamaica|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|+506 2293 0946|+506 2239 9982||franz.langre@cr.multivac.com|
Japan|Asien|Kanematsu KGK Corp.|1-6, Sakuradai 1-chome|Nerima-ku|Tokyo 176-8510|Japan|+81 (0) 3.3 55 7 27 93|+81 (0) 3.3 55 7 27 86||n-shigetomi@kgk-j.co.jp|
Jungferninseln|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|+506 2293 0946|+506 2239 9982||franz.langre@cr.multivac.com|
Kanada|Nordamerika|Wiberg Corporation|931 Equestrian Court|Oakville/Ont. L6L6L7|Canada||+1 (0) 90 5.8 25 99 00|+1 (0) 90 5.8 25 00 70||mkapps@wiberg.ca|
Kenia|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|+27 (0) 12 654 7957|+27 (0) 86 628 9800|+27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Kolumbien|Suedamerika|Multivac Colombia|Jairo Rodriguez|Carrera 97 No. 24C-23 Bodega 15|Bogota||+57 (1) 4188041 / 4188468|+57 (1) 4188049|+57 (314) 2964977|jairo.rodriguez@co.multivac.com|info@co.multivac.com
Kroatien|Europa|Krois & Söhne Ges.m.b.H.|Herrnhausplatz 9|6230 Brixlegg|Österreich||+43 (0) 53 37.6 70 08|+43 (0) 53 37.6 70 10||office@krois.com|
Kuba|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|+506 2293 0946|+506 2239 9982||franz.langre@cr.multivac.com|
Lettland|Europa|Basko Food Technologies|Plienciema iela 16, Mãrupe|Mãrupes pag., Rigas raj., LV-2167|Litauen||+371 67 33 33 29|+371 67 82 02 28||basko@basko.tv|www.basko.lv
Litauen|Europa|Basko Food Technologies|Plienciema iela 16, Mãrupe|Mãrupes pag., Rigas raj., LV-2167|Litauen||+371 67 33 33 29|+371 67 82 02 28||basko@basko.tv|www.basko.lv
Litauen|Europa|JSC Techemservis|Dovainoniu k., Kaisiadoriu raj.|4237 Rumsiskes (Kaunas)|Litauen||+37 698 502 02|+37 346 693 77||sales@techemservis.lt|www.basko.lv
Malaysia|Asien|Erofoma (Malaysia) SDN. BHD|No. 20 Jalan Gangsa SD 5/3H|Bandar Sri Damansara|MY-52200 Kuala Lumpur||+60 (3) 62725172|+60 (3) 62725215|+60 (12) 6658586|erofoma@gmail.com|erofoma@streamyx.com
Mauritius|Suedamerika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|+27 (0) 12 654 7957|+27 (0) 86 628 9800|+27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Mexiko|Suedamerika|Multivac Mexico|Av. Santa Fe No. 170 - Of. 044|Col. Lamas de Santa Fe|Delegacion Alvaro Obregon|C.P. - 01210 - Mexco D.F.|+52 (55) 50 20 55 55|+ 52 (55) 50 20 55 60||contacto@multivac.com|
Mosambik|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|+27 (0) 12 654 7957|+27 (0) 86 628 9800|+27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Namibia|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|+27 (0) 12 654 7957|+27 (0) 86 628 9800|+27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Neuseeland|Australien|Multivac New Zealand Ltd|6 Alpito Place|Pukekohe|2340 New Zealand||+64 9 238 3055||||
Nicaragua|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|+506 2293 0946|+506 2239 9982||franz.langre@cr.multivac.com|
Nigeria|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|+27 (0) 12 654 7957|+27 (0) 86 628 9800|+27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Norwegen|Europa|BM Food Tech AS|Hoydaveien 17|1523 Moss|Norwegen||+47 (0) 69 27 93 00|+47 (0) 69 27 93 05||mail@bmfoodtech.no|
Österreich|Europa|Strasser Ges.m.b.H. & Co. KG|Gewerbestraße 1|Gewerbegebiet Weitwörth|5151 Nußdorf am Haunsberg|Österreich|+43 6272 6184 0|+43 6272 6184 20||office@strasser.co.at|
Panama|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|+506 2293 0946|+506 2239 9982||franz.langre@cr.multivac.com|
Philippinien|Asien|Primace Corporation|U204 Veria Bldg. 62 West Ave.|West Triangle, Quezon City|Philippines 1104||+63 (0) 2.3 73 08 25|+63 (0) 2.3 71 46 78||primacecorp@skyinet.net|
Polen|Europa|TESPO|Ul. Laskowa 3|05-420 Jozefow |Polen||+48 (0) 22 78 95 24|+48 (0) 22 78 95 249|||
Polen|Europa|Wilk|Ul. Brzegowa 105 A|48-200 Dzierzoniow|Polen||+48 (0) 7483 11 34|+48 (0) 7483 21 783||Wilk_International_poland@pro.onet.pl|
Puerto Rico|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|+506 2293 0946|+506 2239 9982||franz.langre@cr.multivac.com|
Rumänien|Europa|Flying Dutchman srl|Str. Johannes Kepler 29|Bucharest, Sector 2|020345 Bucharest|Romania|+40 (0) 21 2 43 06 55|+40 (0) 21 2 43 17 86||rene@flyingdutchman.eu|
Russland|Europa|Repräsentanz Schröter Technologie GmbH & Co.KG|Ul. Perovskaja 61/2|111394 Moskau|Russland||||||
Sambia|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|+27 (0) 12 654 7957|+27 (0) 86 628 9800|+27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Schweden|Europa|BM Food Tech AS|Hoydaveien 17|1523 Moss|Norwegen||+47 (0) 69 27 93 00|+47 (0) 69 27 93 05||mail@bmfoodtech.no|
Serbien|Europa|Krois & Söhne Ges.m.b.H.|Herrnhausplatz 9|6230 Brixlegg|Österreich||+43 (0) 53 37.6 70 08|+43 (0) 53 37.6 70 10||office@krois.com|
Simbabwe|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|+27 (0) 12 654 7957|+27 (0) 86 628 9800|+27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Slowenien|Europa|Krois & Söhne Ges.m.b.H.|Herrnhausplatz 9|6230 Brixlegg|Österreich||+43 (0) 53 37.6 70 08|+43 (0) 53 37.6 70 10||office@krois.com|
Spanien|Europa|Multivac Packaging Systems España, S.L.|C/ Poeta José del Hierro, 1|28320 Pinto (Madrid)|Spanien||+34 916 706 991|: +34 916 706 912|+34 639 189 967|emilio.hernandez@es.multivac.com|
Sri Lanka|Asien|Multivac Laraon India Private Limited|137, Sector 5 IMT Manesar|122050|Gurgaon NCR|India|+91-124 4610000|||info@multivac.co.in|
Surinam|Asien|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|+506 2293 0946|+506 2239 9982||franz.langre@cr.multivac.com|
Südafrika|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|+27 (0) 12 654 7957|+27 (0) 86 628 9800|+27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Südkorea|Asien|Multivac Korea Co., Ltd.|3F, Trutec Building B6-2, Digital Media City(DMC)|Sangam-dong, Mapo-k|Seoul|Korea|||||
Tansania|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|+27 (0) 12 654 7957|+27 (0) 86 628 9800|+27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Thailand|Asien|Hitec Food Equipment Co., Ltd.|120, 122, 124, 126, 1st Floor, JSP Building|Soi Sukhumvit 81, Sukhumvit Rd.|Bangjak, Pra Khanong, Bangkok 10260||+66 (2) 3316097|+66 (2) 3316099||sales@hitec-th.com|
Thailand|Asien|Erawan Union Co.,Ltd.|Aisoon Sirichainakhon|16/6 Talingchan - Suphanburi Rd,|Bangmuong, Bangyai, Nonthaburi, Thailand 11140||02 - 924 7881 - 5|02 - 595 1621|(66) 084 449 7890||
Trinidad|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|+506 2293 0946|+506 2239 9982||franz.langre@cr.multivac.com|
Türkei|Europa|Multivac Ambalaj Makineleri Sanayi ve Ticaret A.S|Yukari Dudullu Mahallesi Özenc Sokak No: 14|34775 Ümraniye-Istanbul|||+90 (0) 216 526 00 33|+90 (0) 216 526 03 83||info@tr.multivac.com|www.multivac.com 
USA|Nordamerika|AmTrade Systems, Inc.|13720 Wayne Road|MI 48150 Livonia|USA||+1 (0) 734 522 9500|+1 (0) 734 522 9549||sales@amtrade-systems.com|
USA|Nordamerika|West Wiberg Corporation of California|11258 Regentview Avenue|Downey, CA 90241|USA||+1 562-869-5240|+1 562-869-5290|||
Uganda|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|+27 (0) 12 654 7957|+27 (0) 86 628 9800|+27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Ukraine|Europa|KABO-Gewürze GmbH|Zdolbunowskaja Str., 7-G|02081 Kiew|Ukraine||+380 (0) 4 45 99 16-65|+380 (0) 4 44 96-31-79||kabo-gewuerze@users.ukrsat.com|
Weißrussland|Europa|Basko Food Technologies|Plienciema iela 16, Mãrupe|Mãrupes pag., Rigas raj., LV-2167|Litauen||+371 67 33 33 29|+371 67 82 02 28||basko@basko.tv|www.basko.lv
Zypern|Europa|Finde Trading Ltd.|Mr. Petros Manolas|Elevterias 43|2566 Lympia Levkosias|Zypern|+357 22 52 62 62|+357 22 52 62 62||petros@manolas.com|
