Japan|Asien|Kanematsu KGK Corp.|1-6, Sakuradai 1-chome|Nerima-ku|Tokyo 176-8510|Japan|Tel. +81 (0) 3.3 55 7 27 93|Fax +81 (0) 3.3 55 7 27 86||n-shigetomi@kgk-j.co.jp|
Virgin Islands|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982||franz.langre@cr.multivac.com|
Canada|Nordamerika|Wiberg Corporation|931 Equestrian Court|Oakville/Ont. L6L6L7|Canada||Tel. +1 (0) 90 5.8 25 99 00|Fax +1 (0) 90 5.8 25 00 70||mkapps@wiberg.ca|
Kenya|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|Tel. +27 (0) 12 654 7957|Fax +27 (0) 86 628 9800|Mobil +27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Colombia|Suedamerika|Multivac Colombia|Jairo Rodriguez|Carrera 97 No. 24C-23 Bodega 15|Bogota||Tel. +57 (1) 4188041 / 4188468|Fax +57 (1) 4188049|Mobil +57 (314) 2964977|jairo.rodriguez@co.multivac.com|info@co.multivac.com
Croatia|Europa|Krois & Söhne Ges.m.b.H.|Herrnhausplatz 9|6230 Brixlegg|Croatia||Tel. +43 (0) 53 37.6 70 08|Fax +43 (0) 53 37.6 70 10||office@krois.com|
Cuba|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982||franz.langre@cr.multivac.com|
Lettland|Europa|Basko Food Technologies|Plienciema iela 16, Mãrupe|Mãrupes pag., Rigas raj., LV-2167|||Tel. +371 67 33 33 29|Fax +371 67 82 02 28||basko@basko.tv|www.basko.lv
Lithuania|Europa|Basko Food Technologies|Plienciema iela 16, Mãrupe|Mãrupes pag., Rigas raj., LV-2167|||Tel. +371 67 33 33 29|Fax +371 67 82 02 28||basko@basko.tv|www.basko.lv
Lithuania|Europa|JSC Techemservis|Dovainoniu k., Kaisiadoriu raj.|4237 Rumsiskes (Kaunas)|||Tel. +37 698 502 02|Fax +37 346 693 77||sales@techemservis.lt|www.basko.lv
Malaysia|Asien|Erofoma (Malaysia) SDN. BHD|No. 20 Jalan Gangsa SD 5/3H|Bandar Sri Damansara|MY-52200 Kuala Lumpur||Tel. +60 (3) 62725172|Fax +60 (3) 62725215|Mobil +60 (12) 6658586|erofoma@gmail.com|erofoma@streamyx.com
Mauritius|Suedamerika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|Tel. +27 (0) 12 654 7957|Fax +27 (0) 86 628 9800|Mobil +27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Mexico|Suedamerika|Multivac Mexico|Av. Santa Fe No. 170 - Of. 044|Col. Lamas de Santa Fe|Delegacion Alvaro Obregon|C.P. - 01210 - Mexico D.F.|Tel. +52 (55) 50 20 55 55|Fax + 52 (55) 50 20 55 60||contacto@multivac.com|
Mozambique|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|Tel. +27 (0) 12 654 7957|Fax +27 (0) 86 628 9800|Mobil +27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Namibia|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|Tel. +27 (0) 12 654 7957|Fax +27 (0) 86 628 9800|Mobil +27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
New Zealand|Australien|Multivac New Zealand Ltd|6 Alpito Place|Pukekohe|2340 New Zealand||Tel. +64 9 238 3055||||
Nicaragua|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982||franz.langre@cr.multivac.com|
Nigeria|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|Tel. +27 (0) 12 654 7957|Fax +27 (0) 86 628 9800|Mobil +27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Norway|Europa|BM Food Tech AS|Hoydaveien 17|1523 Moss|Norway||Tel. +47 (0) 69 27 93 00|Fax +47 (0) 69 27 93 05||mail@bmfoodtech.no|
Austria|Europa|Strasser Ges.m.b.H. & Co. KG|Gewerbestraße 1|Gewerbegebiet Weitwörth|5151 Nußdorf am Haunsberg|Austria|Tel. +43 6272 6184 0|Fax +43 6272 6184 20||office@strasser.co.at|
Panama|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982||franz.langre@cr.multivac.com|
Philippines|Asien|Primace Corporation|U204 Veria Bldg. 62 West Ave.|West Triangle, Quezon City|Philippines 1104||Tel. +63 (0) 2.3 73 08 25|Fax +63 (0) 2.3 71 46 78||primacecorp@skyinet.net|
Poland|Europa|TESPO|Ul. Laskowa 3|05-420 Jozefow |Poland||Tel. +48 (0) 22 78 95 24|Fax +48 (0) 22 78 95 249|||
Poland|Europa|Wilk|Ul. Brzegowa 105 A|48-200 Dzierzoniow|Poland||Tel. +48 (0) 7483 11 34|Fax +48 (0) 7483 21 783||Wilk_International_poland@pro.onet.pl|
Puerto Rico|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982||franz.langre@cr.multivac.com|
Romania|Europa|Flying Dutchman srl|Str. Johannes Kepler 29|Bucharest, Sector 2|020345 Bucharest|Romania|Tel. +40 (0) 21 2 43 06 55|Fax +40 (0) 21 2 43 17 86||rene@flyingdutchman.eu|
Russia|Europa|Repräsentanz Schröter Technologie GmbH & Co.KG|Ul. Perovskaja 61/2|111394 Moskau|Russia||||||
Zambia|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|Tel. +27 (0) 12 654 7957|Fax +27 (0) 86 628 9800|Mobil +27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Sweden|Europa|BM Food Tech AS|Hoydaveien 17|1523 Moss|Norway||Tel. +47 (0) 69 27 93 00|Fax +47 (0) 69 27 93 05||mail@bmfoodtech.no|
Serbia|Europa|Krois & Söhne Ges.m.b.H.|Herrnhausplatz 9|6230 Brixlegg|Austria||Tel. +43 (0) 53 37.6 70 08|Fax +43 (0) 53 37.6 70 10||office@krois.com|
Zimbabwe|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|Tel. +27 (0) 12 654 7957|Fax +27 (0) 86 628 9800|Mobil +27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Slovenia|Europa|Krois & Söhne Ges.m.b.H.|Herrnhausplatz 9|6230 Brixlegg|Austria||Tel. +43 (0) 53 37.6 70 08|Fax +43 (0) 53 37.6 70 10||office@krois.com|
Spain|Europa|Multivac Packaging Systems España, S.L.|C/ Poeta José del Hierro, 1|28320 Pinto (Madrid)|Spain||Tel. +34 916 706 991|Fax: +34 916 706 912|Mobil +34 639 189 967|emilio.hernandez@es.multivac.com|
Sri Lanka|Asien|Multivac Laraon India Private Limited|137, Sector 5 IMT Manesar|122050|Gurgaon NCR|India|Tel. +91-124 4610000|||info@multivac.co.in|
Suriname|Asien|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982||franz.langre@cr.multivac.com|
South Africa|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|Tel. +27 (0) 12 654 7957|Fax +27 (0) 86 628 9800|Mobil +27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
South Korea|Asien|Multivac Korea Co., Ltd.|3F, Trutec Building B6-2, Digital Media City(DMC)|Sangam-dong, Mapo-k|Seoul|Korea|||||
Tanzania|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|Tel. +27 (0) 12 654 7957|Fax +27 (0) 86 628 9800|Mobil +27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Thailand|Asien|Hitec Food Equipment Co., Ltd.|120, 122, 124, 126, 1st Floor, JSP Building|Soi Sukhumvit 81, Sukhumvit Rd.|Bangjak, Pra Khanong, Bangkok 10260||Tel. +66 (2) 3316097, +66 (2) 3316098|Fax +66 (2) 3316099||sales@hitec-th.com|
Thailand|Asien|Erawan Union Co.,Ltd.|Aisoon Sirichainakhon|16/6 Talingchan - Suphanburi Rd,|Bangmuong, Bangyai, Nonthaburi, Thailand 11140||Tel. 02 - 924 7881 - 5|Fax 02 - 595 1621|Mobil (66) 084 449 7890||
Trinidad|Suedamerika|Multivac Centroamerica y Caribe|Plaza los Arcos local 17,|150 metros este de la entrade del Residencial Los Arcos,|Cariari, Heredia|Costa Rica|Tel. +506 2293 0946|Fax +506 2239 9982||franz.langre@cr.multivac.com|
Turkey|Europa|Multivac Ambalaj Makineleri Sanayi ve Ticaret A.S|Yukari Dudullu Mahallesi Özenc Sokak No: 14|34775 Ümraniye-Istanbul|||Tel. +90 (0) 216 526 00 33|Fax +90 (0) 216 526 03 83||info@tr.multivac.com|www.multivac.com 
USA|Nordamerika|AmTrade Systems, Inc.|13720 Wayne Road|MI 48150 Livonia|USA||Tel. +1 (0) 734 522 9500|Fax +1 (0) 734 522 9549||sales@amtrade-systems.com|
USA|Nordamerika|West Wiberg Corporation of California|11258 Regentview Avenue|Downey, CA 90241|USA||Tel. +1 562-869-5240|Fax +1 562-869-5290|||
Uganda|Afrika|PHT – SA|Partner for Hygiene & Technology|QPS Office Park|58 Henri Road|Centurion, SA|Tel. +27 (0) 12 654 7957|Fax +27 (0) 86 628 9800|Mobil +27 (0) 83 400 6264|dkoekemoer@pht-sa.co.za|www.pht-sa.co.za
Ukraine|Europa|KABO-Gewürze GmbH|Zdolbunowskaja Str., 7-G|02081 Kiew|Ukraine||Tel. +380 (0) 4 45 99 16-65|Fax +380 (0) 4 44 96-31-79||kabo-gewuerze@users.ukrsat.com|
Belarus|Europa|Basko Food Technologies|Plienciema iela 16, Mãrupe|Mãrupes pag., Rigas raj., LV-2167|Belarus||Tel. +371 67 33 33 29|Fax +371 67 82 02 28||basko@basko.tv|www.basko.lv
Cyprus|Europa|Finde Trading Ltd.|Mr. Petros Manolas|Elevterias 43|2566 Lympia Levkosias|Cyprus|Tel. +357 22 52 62 62|Fax +357 22 52 62 62||petros@manolas.com|
